Datum;Binnengekomen bij Provider;Doorgeleid naar keuzemenu;Door beller opgehangen in menu;Automatisch behandeld in menu;Thema;Gekozen voor thema incl. doorverbindingen;In de wachtrij;Door beller opgehangen in de wachtrij;Geholpen door medewerker;Gemiddelde wachttijd (s);;
04/02/2019;;;;;INTERMEDIAIRS;4014,00;3782,00;224,00;3558,00;171;;
04/02/2019;;;;;OVERIG;3801,00;3754,00;408,00;3346,00;345;;
04/02/2019;;;;;BUITENLAND;3663,00;3590,00;996,00;2594,00;372;;
04/02/2019;;;;;DOUANE;365,00;361,00;36,00;325,00;158;;
05/02/2019;51191,00;51172,00;7357,00;2991,00;TOTAAL;51650,00;47736,00;3684,00;44052,00;198;;
05/02/2019;;;;;PARTICULIEREN;16510,00;16248,00;773,00;15475,00;128;;
05/02/2019;;;;;TOESLAGEN;10273,00;10261,00;567,00;9694,00;138;;
05/02/2019;;;;;ONDERNEMINGEN;9025,00;6468,00;764,00;5704,00;383;;
05/02/2019;;;;;OVERIG;4426,00;3571,00;489,00;3082,00;451;;
05/02/2019;;;;;INTERMEDIAIRS;4080,00;3908,00;215,00;3693,00;166;;
05/02/2019;;;;;AUTO;3851,00;3810,00;207,00;3603,00;136;;
05/02/2019;;;;;BUITENLAND;3094,00;3079,00;653,00;2426,00;285;;
05/02/2019;;;;;DOUANE;391,00;391,00;16,00;375,00;59;;
06/02/2019;48998,00;48975,00;6943,00;2540,00;TOTAAL;49282,00;45222,00;3858,00;41364,00;198;;
06/02/2019;;;;;PARTICULIEREN;15908,00;15744,00;690,00;15054,00;114;;
06/02/2019;;;;;TOESLAGEN;9097,00;9097,00;452,00;8645,00;113;;
06/02/2019;;;;;ONDERNEMINGEN;9081,00;6257,00;839,00;5418,00;415;;
06/02/2019;;;;;OVERIG;4335,00;3372,00;593,00;2779,00;549;;
06/02/2019;;;;;INTERMEDIAIRS;3856,00;3808,00;170,00;3638,00;149;;
06/02/2019;;;;;AUTO;3574,00;3573,00;133,00;3440,00;85;;
06/02/2019;;;;;BUITENLAND;3081,00;3021,00;943,00;2078,00;424;;
06/02/2019;;;;;DOUANE;350,00;350,00;38,00;312,00;77;;
07/02/2019;44735,00;44712,00;6254,00;2182,00;TOTAAL;46267,00;43295,00;2503,00;40792,00;136;;
07/02/2019;;;;;PARTICULIEREN;14918,00;14857,00;267,00;14590,00;35;;
07/02/2019;;;;;ONDERNEMINGEN;8156,00;6622,00;663,00;5959,00;332;;
07/02/2019;;;;;TOESLAGEN;8056,00;8056,00;184,00;7872,00;37;;
07/02/2019;;;;;OVERIG;4860,00;3570,00;605,00;2965,00;480;;
07/02/2019;;;;;INTERMEDIAIRS;3784,00;3701,00;220,00;3481,00;181;;
07/02/2019;;;;;AUTO;3290,00;3287,00;90,00;3197,00;58;;
07/02/2019;;;;;BUITENLAND;2884,00;2884,00;441,00;2443,00;196;;
07/02/2019;;;;;DOUANE;319,00;318,00;33,00;285,00;127;;
08/02/2019;38740,00;38726,00;5482,00;1724,00;TOTAAL;40176,00;37644,00;2195,00;35449,00;112;;
08/02/2019;;;;;PARTICULIEREN;12865,00;12865,00;121,00;12744,00;15;;
08/02/2019;;;;;TOESLAGEN;6300,00;6300,00;90,00;6210,00;12;;
08/02/2019;;;;;ONDERNEMINGEN;6141,00;5729,00;392,00;5337,00;185;;
08/02/2019;;;;;OVERIG;4817,00;3082,00;609,00;2473,00;559;;
08/02/2019;;;;;AUTO;4175,00;3880,00;255,00;3625,00;132;;
08/02/2019;;;;;INTERMEDIAIRS;3089,00;3013,00;94,00;2919,00;87;;
08/02/2019;;;;;BUITENLAND;2460,00;2455,00;601,00;1854,00;308;;
08/02/2019;;;;;DOUANE;329,00;320,00;33,00;287,00;104;;
11/02/2019;52359,00;52329,00;7360,00;2847,00;TOTAAL;54352,00;51679,00;2713,00;48966,00;122;;
11/02/2019;;;;;PARTICULIEREN;18914,00;18843,00;493,00;18350,00;77;;
11/02/2019;;;;;TOESLAGEN;9007,00;9007,00;260,00;8747,00;63;;
11/02/2019;;;;;ONDERNEMINGEN;7855,00;7624,00;304,00;7320,00;139;;
11/02/2019;;;;;OVERIG;6554,00;4234,00;724,00;3510,00;532;;
11/02/2019;;;;;AUTO;4496,00;4493,00;130,00;4363,00;48;;
11/02/2019;;;;;INTERMEDIAIRS;3776,00;3776,00;102,00;3674,00;74;;
11/02/2019;;;;;BUITENLAND;3396,00;3349,00;671,00;2678,00;242;;
11/02/2019;;;;;DOUANE;354,00;353,00;29,00;324,00;67;;
12/02/2019;41986,00;41947,00;5835,00;2310,00;TOTAAL;44650,00;43981,00;1481,00;42500,00;64;;
12/02/2019;;;;;PARTICULIEREN;14635,00;14635,00;162,00;14473,00;22;;
12/02/2019;;;;;TOESLAGEN;7856,00;7856,00;146,00;7710,00;26;;
12/02/2019;;;;;ONDERNEMINGEN;7095,00;7095,00;114,00;6981,00;45;;
12/02/2019;;;;;OVERIG;4445,00;3790,00;672,00;3118,00;428;;
12/02/2019;;;;;AUTO;3744,00;3744,00;76,00;3668,00;32;;
12/02/2019;;;;;INTERMEDIAIRS;3742,00;3740,00;33,00;3707,00;23;;
12/02/2019;;;;;BUITENLAND;2786,00;2783,00;259,00;2524,00;131;;
12/02/2019;;;;;DOUANE;347,00;338,00;19,00;319,00;48;;
13/02/2019;37221,00;37201,00;5387,00;2078,00;TOTAAL;39387,00;38869,00;1583,00;37286,00;86;;
13/02/2019;;;;;PARTICULIEREN;12531,00;12531,00;248,00;12283,00;38;;
13/02/2019;;;;;TOESLAGEN;7071,00;7071,00;138,00;6933,00;32;;
13/02/2019;;;;;ONDERNEMINGEN;6044,00;6044,00;135,00;5909,00;66;;
13/02/2019;;;;;OVERIG;3788,00;3377,00;542,00;2835,00;429;;
13/02/2019;;;;;AUTO;3782,00;3678,00;241,00;3437,00;142;;
13/02/2019;;;;;INTERMEDIAIRS;3416,00;3413,00;50,00;3363,00;30;;
13/02/2019;;;;;BUITENLAND;2430,00;2430,00;195,00;2235,00;137;;
13/02/2019;;;;;DOUANE;325,00;325,00;34,00;291,00;98;;
14/02/2019;35851,00;35838,00;5060,00;1829,00;TOTAAL;38182,00;37600,00;1830,00;35770,00;119;;
